barcode,author_last_name,year,checkouts,division,n_pages
12563912,Nelson,1985,8,PRPL,108
16164162,Olshen,1933,0,MNS,247
12176359,Oesting,1989,3,PRPL,103
15585391,Balkan,2005,0,HSS,110
11740537,Ahern,1982,2,HSS,145
15801640,Reeve-Rossi,2006,4,LL,76
13159405,Rogers,1937,3,HSS,215
15588304,Schneider,2005,0,HSS,94
12271722,Patterson,1991,3,PRPL,112
15168297,Parker,1982,1,HSS,105
12111894,Taylor,1951,1,HSS,223
17789140,Tiedeman,1974,0,MNS,37
12591491,Spalter,1952,0,HSS,168
16995102,Williams,2012,1,MNS,46
14684328,Mitchell,1999,4,LL,121
12553772,Mcoy,1945,1,HSS,101
12189494,Lewis,1989,0,LL,81
12612123,Kalahan,1975,1,PRPL,99
12303210,Jewell-Thomas,1987,1,HSS,58
15494685,Hinmon,2004,1,HSS,102
12669529,Hobbs,1979,0,MNS,49
16450231,Harjo,2007,1,HSS,91
16891863,Groeger,1953,0,HSS,162
15313778,Eddings,1954,9,LL,317
15797434,Davidson,2006,2,MNS,59
12936712,Carlson,1982,0,PRPL,324
16233207,Clark,2009,2,HSS,65
14988661,Boucher,1974,0,LL,128
11737186,Baker,1985,1,LL,108
17708314,Par,1975,2,HSS,68
12643219,Golding,1941,2,HSS,67
11740834,Albritten,1972,0,LL,42
12681722,Nagahisa,1979,1,MNS,89
12521183,Freeman,1971,2,MNS,22
16830529,Ellington,2012,2,MNS,77
17258450,Cobb,2016,3,MNS,44
17105289,Dash,2013,1,PRPL,62
15321789,Parker,2003,2,PRPL,146
17003625,Silver,2012,6,HSS,135
17358557,Stanton,2014,3,MNS,88
12107322,Tinus,1985,2,LL,101
17561796,Colacion,2017,0,MNS,127
12595179,Sherman,1977,1,PRPL,111
15673262,Crawford,1973,0,MNS,68
17789330,Darrow,2019,0,PRPL,107
13978846,Dang,1986,0,MNS,61
12637948,Costello,1975,4,MNS,51
15472046,Zundel,1955,1,HSS,69
15148612,Barry,2002,2,MNS,38
15156649,Banner,2002,2,MNS,45
12967451,Bard,1994,9,LL,101
16678799,Allen,2011,2,ART,45
12295762,Bozarth,1953,0,LL,107
14966949,Zubrow,2001,0,LL,103
15168941,Young-Taft,2002,2,HSS,104
14638720,Corsetti,2000,0,HSS,108
15100357,Dowling,2002,0,MNS,72
15044779,Dodd,2000,5,MNS,57
17790387,Fessant-Eaton,2019,0,HSS,61
12259032,Friedman,1989,2,PRPL,115
13996848,Emre,1995,1,MNS,45
13107776,Early,1992,4,LL,96
17114281,Bang,2013,0,PRPL,74
15323371,Zuckerman,2003,0,MNS,78
17649567,Tucker,2017,1,PRPL,48
12556908,Mitchell,1982,4,HSS,54
15686033,Moffet,1979,2,MNS,31
14954770,Molen,2001,8,HSS,86
12671608,Moore,1981,1,MNS,64
14147821,Marsh,1983,2,PRPL,64
13971957,Ludwig,1994,0,PRPL,69
12072849,Bryja,1987,1,ART,108
16541120,Doyle,2011,1,LL,49
15114713,Dolan,2002,0,MNS,92
17698796,Feldman,2018,0,HSS,83
12625927,Lilienthal,1972,0,MNS,67
17788522,Lave,1960,4,HSS,114
12623682,Lawless,1974,1,PRPL,48
17817693,Ladokhin,2019,0,LL,81
12782363,Hasan,1991,1,HSS,70
15559032,Hiekel,1980,0,LL,177
12562708,Pratt,1964,0,ART,61
17139098,Puett,2013,0,HSS,52
15496912,Rahder,2004,3,MNS,48
13028626,Reim,1993,0,HSS,106
15164288,Powers,2002,2,HSS,107
12553996,Marcinko,1978,6,ART,119
12263117,Marshall,1990,0,ART,47
17261298,Martin,2016,1,ART,21
13026349,Marzari,1993,2,HSS,160
15799307,Mathewson,2006,1,LL,49
12980470,Wiener,1994,7,ART,61
13159397,Williams,1969,0,MNS,503
12120143,Will,1982,3,HSS,67
16481335,Wilson,2010,1,MNS,64
12119533,Worrall,1969,3,HSS,281
16728966,Zain,2014,1,PRPL,127
17561457,Allen,2017,1,HSS,105
14914253,Andrews,2001,1,HSS,83
13990569,Asher,1995,0,LL,74
11745205,Adelman,1985,0,MNS,85
17793076,Harmon-Pierce,2019,0,LL,73
13998042,Hatfield,1995,6,PRPL,88
12661633,Heifetz,1966,2,HSS,69
15688567,Heil,1961,0,MNS,28
12640512,Handley,1978,5,MNS,99
15497761,Snyder,2004,2,HSS,102
16145658,Pierce,2008,1,MNS,35
14966857,Troyer,2001,1,PRPL,87
12110201,Weeks,1950,1,PRPL,149
142265583,Sieling,1998,1,HSS,50
14174544,Michels,1996,1,MNS,43
12652509,Fanger,1978,1,LL,59
12670337,Lewis,1957,0,MNS,26
12189908,Barlow,1989,2,LL,101
12655361,Dubonoff,1966,5,HSS,50
12658100,Galin,1969,1,LL,42
12659553,Gunterman,1964,1,ART,76
15221278,Daley,1984,0,PRPL,60
15797327,Eisenberg,2006,3,LL,66
17430323,Deyoung,2015,0,LL,85
12600318,Hanen,1967,5,ART,90
13982020,Karty,1985,2,MNS,79
16982431,Lambert,2012,1,MNS,60
12607016,Hartfield,1974,0,HSS,102
12184602,Jones,1989,0,PRPL,70
15141583,Buchanan,2002,1,MNS,85
13020045,Fields,1993,1,LL,90
14814859,Cox,2000,0,MNS,76
14173926,Ridenour,1996,2,MNS,32
17703828,Raichlen,1975,2,LL,92
12592416,Sakai,1977,2,HSS,195
16982456,Lightfoot,2012,1,LL,118
16316234,Bowers,1965,0,ART,19
17509936,Merwin,1969,0,LL,115
16225422,Lau,2010,3,MNS,102
14301825,Hardwicke,1998,0,MNS,46
17258609,Sofia-Mari,2016,1,MNS,65
17260233,Hurth,2016,0,LL,71
17797770,Yearwood,2019,0,MNS,53
17793829,Kumar,2019,0,LL,60
15861297,Killeen,2007,0,HSS,61
14966832,Swihart,2001,2,PRPL,52
17434325,Lyon,2015,0,ART,95
12653051,Cronyn,1972,6,HSS,104
16235400,Peetz,2009,1,PRPL,82
15496383,O'Connor,2004,3,PRPL,68
17354358,Dashevsky,2014,1,MNS,60
12094967,Nakamura,1987,0,LL,78
14734719,Dilley,1999,3,MNS,49
12658092,Gabrillis,1983,1,HSS,140
17789298,Brownwood,2019,0,MNS,94
15800352,Rosenberg,2006,1,HSS,96
15585391,Balkan,2005,0,HSS,114
15800261,Ungerecht,2006,3,PRPL,59
17004029,Moore,2012,0,LL,75
16559601,Noble,2011,2,HSS,110
14400667,Palmer,1998,1,LL,144
12564449,Nobels,1972,6,PRPL,64
17706722,Palmer,2018,1,ART,58
15681372,Norman,1963,0,MNS,31
12561437,Palmer,1973,1,PRPL,25
15798978,Nolan,2006,4,MNS,84
13914981,Nopp,1996,0,INT,79
12177499,Palmer,1988,0,HSS,74
15164072,Papazoglou,2002,1,MNS,22
12561429,Palmer,1985,2,MNS,59
13998612,Palmer,1995,4,MNS,62
12854238,Hermes,1996,3,ART,62
15688955,Herdon,1966,0,MNS,48
16832495,Hermsen,2012,2,PRPL,129
17702168,Hernandez,2018,0,HSS,45
17722604,Korpela,2018,0,HSS,68
17504333,Hernstadt,2016,2,MNS,66
17793209,Herrera,2019,0,PRPL,98
12245387,Kornzweig,1991,3,INT,107
17355140,Herrera,2014,1,PRPL,52
14391783,Herrick,1998,1,LL,74
12661997,Herrick,1980,2,INT,139
17572868,Kornhäuser,1990,0,MNS,47
15320922,Konick,2003,1,LL,75
12852307,Kornell,1996,0,INT,78
12616843,Korn,1937,1,HSS,142
15680333,Kondo,1984,0,MNS,45
15860729,Koren,2007,0,PRPL,62
15495039,Komornicka,2004,0,HSS,79
15680341,Krause,1951,0,MNS,21
16436883,Hand,2009,6,INT,80
12600253,Hancock,1976,3,HSS,127
12616991,Koning,1961,10,PRPL,104
12639860,Koo,1983,1,MNS,53
17537986,Pokar-Aghdam,2017,0,PRPL,46
16560716,Porcino,2011,0,MNS,37
15160336,Koo,2002,0,LL,65
12679742,Poppe,1955,3,MNS,45
17436205,Popp,2015,0,HSS,86
16837510,Meade,2012,0,MNS,60
16872020,Caamano,2012,1,MNS,42
15585698,Cabarga,2005,5,ART,71
14950729,Cabe,2001,0,HSS,90
12177812,Cabot,1988,0,ART,75
16871717,Cahill,2012,0,MNS,39
12603924,Cahill,1940,0,HSS,71
17114786,Cain,2013,0,PRPL,72
17698333,Cairati,2018,1,PRPL,41
12902979,Callicott,1991,0,LL,64
